iter	F1	Logloss
0	0.9203390953	0.610744106
1	0.9201275464	0.5555895086
2	0.9205668696	0.497497217
3	0.9207978065	0.4512382478
4	0.9210093418	0.4170759307
5	0.9204060761	0.3846861326
6	0.9204060761	0.360130182
7	0.9203390953	0.3364503635
8	0.9204194734	0.3248041525
9	0.9204060761	0.3102742524
10	0.9210764202	0.299344364
11	0.9204864658	0.2898116332
12	0.9206472875	0.2793322198
13	0.9205400668	0.2725457248
14	0.9203524907	0.26827193
15	0.9203524907	0.2630769353
16	0.9207143131	0.2541249478
17	0.9207277194	0.2519260645
18	0.9214119586	0.2451570731
19	0.9219591559	0.2407895366
20	0.9221839004	0.2382156535
21	0.9221839004	0.2359271333
22	0.9228965609	0.2314240257
23	0.92361938	0.2275371478
24	0.9237496309	0.2264951243
25	0.9243148807	0.223756752
26	0.925084422	0.2234015782
27	0.9252407342	0.2194520272
28	0.9245879844	0.2191612886
29	0.9255961629	0.217693436
30	0.9260477453	0.2146126598
31	0.9260074097	0.2129098047
32	0.926432081	0.2115859045
33	0.9273890926	0.2100736724
34	0.9277393293	0.2071625025
35	0.927833669	0.2060053053
36	0.9278201907	0.205934939
37	0.9277662815	0.2058076849
38	0.9277662815	0.205684615
39	0.9280428403	0.2051412364
40	0.928859165	0.2037402228
41	0.929270975	0.2019670884
42	0.9293655815	0.2000674581
43	0.9287847311	0.1977441853
44	0.9287847311	0.1977063415
45	0.9287577325	0.1976536918
46	0.9292233264	0.1964341301
47	0.9291963151	0.1962582986
48	0.9291963151	0.1957558811
49	0.9298314964	0.1938201011
50	0.9300479265	0.1928650924
51	0.9300343967	0.1923992807
52	0.9301697127	0.1913805731
53	0.9301561793	0.1913674586
54	0.9301020498	0.1912259263
55	0.9301020498	0.1912211236
56	0.9302644574	0.1893328913
57	0.930635831	0.1879702591
58	0.930635831	0.1878838923
59	0.9305816712	0.1878798063
60	0.930798348	0.1870493201
61	0.9308660801	0.1861352197
62	0.931283574	0.1854338725
63	0.9315869989	0.1844921192
64	0.9315869989	0.1843332613
65	0.93157345	0.1843304928
66	0.9318767828	0.1840052978
67	0.9318632319	0.1839621248
68	0.9318632319	0.1839604819
69	0.9320987117	0.1831964819
70	0.9320716101	0.1828272729
71	0.9322071339	0.1823492277
72	0.9321664726	0.1823445175
73	0.932180026	0.1818150572
74	0.9329625356	0.1804633596
75	0.9341427767	0.1795931624
76	0.9346085619	0.1773354307
77	0.9345949764	0.1772801626
78	0.9345949764	0.1772789123
79	0.9345813913	0.1772778303
80	0.9345445514	0.1768005312
81	0.9350571055	0.175568846
82	0.9354415229	0.1743175577
83	0.9354415229	0.1743168201
