iter	Passed	Remaining
0	69	346622
1	74	186892
2	82	136919
3	91	114007
4	97	97327
5	105	87637
6	110	78966
7	119	74700
8	123	68661
9	129	64846
10	135	61443
11	139	58185
12	147	56753
13	153	54589
14	156	52140
15	163	50939
16	173	50995
17	177	49209
18	186	48996
19	194	48400
20	202	47916
21	209	47364
22	219	47404
23	228	47435
24	234	46739
25	243	46639
26	247	45573
27	256	45615
28	260	44688
29	270	44790
30	279	44827
31	288	44854
32	298	44894
33	307	44972
34	317	45025
35	325	44915
36	329	44233
37	334	43650
38	337	42979
39	345	42800
40	354	42874
41	363	42869
42	371	42838
43	381	42942
44	385	42415
45	391	42112
46	399	42095
47	404	41753
48	412	41672
49	421	41726
50	430	41766
51	436	41533
52	445	41561
53	449	41127
54	453	40743
55	456	40300
56	466	40491
57	475	40555
58	481	40304
59	484	39861
60	492	39851
61	500	39892
62	509	39955
63	518	40001
64	526	40009
65	530	39636
66	540	39801
67	546	39612
68	549	39239
69	557	39236
70	563	39130
71	573	39227
72	577	38998
73	586	39068
74	595	39100
75	605	39224
76	617	39487
77	624	39407
78	628	39126
79	631	38838
80	639	38845
81	648	38864
82	656	38889
83	660	38632
84	669	38724
85	675	38586
86	685	38707
87	690	38563
88	699	38587
89	708	38647
90	715	38587
91	721	38481
92	727	38361
93	735	38412
94	745	38505
95	748	38244
96	753	38069
97	755	37809
98	764	37862
99	770	37737
100	773	37502
101	776	37288
102	785	37324
103	796	37495
104	806	37608
105	814	37628
106	823	37641
107	832	37711
108	835	37510
109	844	37529
110	847	37330
111	851	37141
112	860	37215
113	870	37292
114	879	37366
115	884	37230
116	893	37286
117	902	37336
118	911	37388
119	921	37454
120	924	37291
121	933	37311
122	936	37146
123	940	36973
124	947	36949
125	952	36856
126	961	36898
127	964	36722
128	967	36533
129	976	36571
130	986	36650
131	995	36723
132	1002	36679
133	1005	36505
134	1013	36537
135	1022	36582
136	1032	36644
137	1036	36509
138	1045	36558
139	1053	36556
140	1062	36630
141	1065	36466
142	1072	36412
143	1082	36498
144	1091	36548
145	1099	36564
146	1108	36580
147	1117	36644
148	1125	36652
149	1134	36688
150	1143	36707
151	1152	36763
152	1161	36798
153	1171	36855
154	1174	36703
155	1184	36791
156	1193	36817
157	1204	36897
158	1213	36956
159	1222	36995
160	1232	37055
161	1242	37106
162	1251	37151
163	1261	37213
164	1271	37253
165	1282	37344
166	1285	37198
167	1294	37246
168	1304	37301
169	1314	37354
170	1325	37428
171	1335	37479
172	1343	37493
173	1354	37565
174	1364	37627
175	1374	37661
176	1382	37673
177	1392	37718
178	1401	37741
179	1411	37784
180	1420	37833
181	1430	37881
182	1442	37968
183	1451	38002
184	1462	38070
185	1472	38122
186	1481	38129
187	1491	38168
188	1500	38182
189	1511	38265
190	1522	38325
191	1532	38386
192	1542	38407
193	1552	38454
194	1562	38497
195	1572	38546
196	1582	38571
197	1592	38610
198	1601	38639
199	1612	38698
200	1620	38701
201	1629	38710
202	1639	38751
203	1649	38771
204	1659	38816
205	1670	38866
206	1680	38915
207	1689	38933
208	1699	38968
209	1709	39002
210	1720	39055
211	1730	39091
212	1740	39110
213	1749	39134
214	1761	39201
215	1770	39211
216	1781	39260
217	1791	39296
218	1800	39310
219	1811	39354
220	1820	39367
221	1832	39439
222	1840	39427
223	1851	39477
224	1859	39469
225	1868	39471
226	1878	39491
227	1887	39509
228	1897	39528
229	1907	39553
230	1916	39572
231	1927	39616
232	1937	39640
233	1946	39645
234	1955	39659
235	1965	39669
236	1975	39698
237	1985	39725
238	1995	39743
239	2005	39770
240	2014	39788
241	2026	39835
242	2034	39827
243	2044	39855
244	2052	39841
245	2062	39851
246	2070	39844
247	2081	39886
248	2091	39903
249	2101	39919
250	2110	39925
251	2119	39929
252	2127	39922
253	2137	39935
254	2147	39957
255	2156	39961
256	2165	39964
257	2173	39957
258	2182	39951
259	2191	39947
260	2199	39943
261	2209	39958
262	2219	39976
263	2228	39985
264	2237	39985
265	2246	39987
266	2255	39976
267	2262	39954
268	2272	39968
269	2280	39949
270	2290	39970
271	2300	39982
272	2308	39971
273	2318	39991
274	2329	40023
275	2338	40029
276	2348	40043
277	2357	40045
278	2368	40075
279	2377	40082
280	2386	40084
281	2397	40119
282	2407	40133
283	2417	40138
284	2426	40148
285	2436	40153
286	2445	40166
287	2455	40180
288	2466	40206
289	2476	40221
290	2486	40242
291	2496	40245
292	2506	40261
293	2515	40269
294	2526	40290
295	2536	40302
296	2546	40317
297	2556	40334
298	2565	40343
299	2574	40336
300	2584	40341
301	2594	40363
302	2604	40377
303	2616	40412
304	2625	40411
305	2633	40402
306	2644	40426
307	2654	40442
308	2664	40450
309	2676	40488
310	2685	40493
311	2696	40522
312	2707	40544
313	2717	40555
314	2728	40577
315	2737	40579
316	2747	40585
317	2756	40589
318	2766	40591
319	2776	40611
320	2786	40619
321	2796	40631
322	2807	40657
323	2817	40663
324	2826	40655
325	2836	40669
326	2846	40676
327	2856	40687
328	2866	40695
329	2875	40691
330	2884	40690
331	2895	40712
332	2904	40711
333	2912	40684
334	2922	40690
335	2931	40692
336	2941	40705
337	2950	40691
338	2960	40700
339	2969	40702
340	2979	40702
341	2988	40698
342	2999	40721
343	3009	40739
344	3020	40752
345	3029	40744
346	3037	40732
347	3045	40717
348	3055	40721
349	3066	40744
350	3076	40746
351	3085	40743
352	3095	40747
353	3105	40756
354	3114	40756
355	3124	40761
356	3133	40752
357	3143	40758
358	3152	40756
359	3162	40756
360	3171	40758
361	3180	40745
362	3190	40753
363	3201	40780
364	3212	40795
365	3222	40795
366	3231	40798
367	3241	40798
368	3250	40798
369	3259	40792
370	3269	40790
371	3279	40797
372	3289	40810
373	3299	40810
374	3308	40808
375	3318	40804
376	3328	40820
377	3339	40830
378	3349	40839
379	3358	40828
380	3366	40814
381	3376	40813
382	3384	40802
383	3392	40780
384	3401	40775
385	3411	40775
386	3421	40787
387	3431	40783
388	3440	40776
389	3450	40787
390	3460	40795
391	3470	40793
392	3479	40786
393	3490	40801
394	3499	40796
395	3508	40785
396	3517	40785
397	3527	40789
398	3536	40776
399	3546	40784
400	3556	40783
401	3564	40771
402	3573	40765
403	3583	40768
404	3594	40780
405	3603	40775
406	3613	40782
407	3623	40777
408	3632	40779
409	3642	40781
410	3652	40779
411	3661	40776
412	3671	40774
413	3680	40771
414	3691	40785
415	3702	40794
416	3711	40791
417	3720	40782
418	3730	40791
419	3739	40781
420	3750	40794
421	3761	40803
422	3771	40805
423	3782	40821
424	3793	40831
425	3804	40845
426	3814	40854
427	3824	40853
428	3833	40850
429	3844	40864
430	3854	40863
431	3864	40867
432	3874	40870
433	3884	40867
434	3893	40863
435	3904	40870
436	3913	40863
437	3923	40864
438	3933	40865
439	3943	40870
440	3954	40880
441	3964	40884
442	3974	40879
443	3982	40866
444	3994	40883
445	4003	40880
446	4014	40886
447	4024	40886
448	4033	40881
449	4043	40888
450	4053	40884
451	4063	40881
452	4072	40878
453	4081	40868
454	4090	40864
455	4098	40844
456	4108	40838
457	4118	40838
458	4129	40853
459	4139	40853
460	4149	40854
461	4159	40852
462	4168	40848
463	4176	40833
464	4187	40843
465	4197	40839
466	4206	40834
467	4216	40834
468	4226	40829
469	4235	40822
470	4245	40821
471	4255	40821
472	4264	40819
473	4275	40825
474	4284	40817
475	4295	40823
476	4303	40809
477	4314	40812
478	4325	40822
479	4335	40825
480	4345	40826
481	4355	40822
482	4364	40820
483	4374	40813
484	4384	40812
485	4395	40826
486	4405	40828
487	4416	40834
488	4426	40831
489	4436	40832
490	4446	40833
491	4456	40834
492	4466	40834
493	4477	40837
494	4487	40837
495	4496	40831
496	4506	40833
497	4516	40827
498	4524	40814
499	4534	40814
500	4544	40808
501	4553	40803
502	4563	40799
503	4573	40799
504	4583	40797
505	4593	40799
506	4604	40806
507	4614	40807
508	4624	40803
509	4635	40807
510	4644	40799
511	4654	40802
512	4665	40804
513	4674	40800
514	4685	40804
515	4696	40808
516	4704	40792
517	4715	40797
518	4725	40802
519	4735	40801
520	4744	40790
521	4755	40795
522	4766	40801
523	4775	40795
524	4784	40783
525	4793	40774
526	4803	40768
527	4812	40762
528	4822	40762
529	4833	40767
530	4842	40756
531	4850	40740
532	4861	40739
533	4870	40730
534	4877	40703
535	4886	40695
536	4897	40700
537	4906	40696
538	4915	40682
539	4925	40679
540	4935	40678
541	4944	40670
542	4954	40663
543	4964	40665
544	4975	40668
545	4985	40668
546	4995	40670
547	5006	40670
548	5016	40668
549	5026	40671
550	5036	40665
551	5046	40666
552	5055	40656
553	5066	40656
554	5076	40655
555	5086	40653
556	5094	40640
557	5104	40635
558	5115	40637
559	5121	40609
560	5131	40600
561	5141	40598
562	5151	40599
563	5162	40606
564	5173	40607
565	5183	40604
566	5192	40599
567	5202	40595
568	5212	40592
569	5221	40584
570	5233	40591
571	5244	40595
572	5254	40599
573	5265	40598
574	5276	40605
