candidate_id,equipment_golden
1577,Dumbbell
873,Bodyweight
1229,Bodyweight
1762,Barbell
1099,Machine
2056,Other
2357,Bodyweight
18,Cardio
244,Bands
302,Machine
2315,Dumbbell
2286,Machine
1218,Machine
243,Bands
745,Machine
762,Bodyweight
541,Cardio
1129,Barbell
546,Other
418,Dumbbell
136,Bodyweight
2692,Machine
1352,Dumbbell
1200,Bodyweight
895,Machine
1191,Other
1193,Bodyweight
2529,Barbell
3033,Dumbbell
3019,Dumbbell
1582,Barbell
685,Barbell
1678,Other
552,Bodyweight
2587,Barbell
1655,Other
1561,Other
1189,Bodyweight
2794,Machine
1771,Dumbbell
2190,Bands
2055,Other
1408,Cardio
2702,Bodyweight
2926,Other
17,Cardio
1141,Bodyweight
2524,Barbell
443,Dumbbell
449,Dumbbell
1737,Other
412,Bodyweight
2132,Bodyweight
23,Machine
323,Bodyweight
1576,Bodyweight
1814,Barbell
185,Cardio
889,Bodyweight
744,Machine
810,Machine
3042,Dumbbell
898,Other
1136,Other
98,Other
2715,Other
2631,Cardio
544,Other
1648,Cardio
1060,Other
2728,Bodyweight
300,Dumbbell
868,Machine
994,Bodyweight
1639,Bodyweight
2784,Bodyweight
1661,Cardio
50,Bodyweight
1811,Other
291,Cardio
1560,Other
2033,Dumbbell
2788,Bodyweight
2624,Bodyweight
3018,Machine
382,Cardio
2842,Machine
1105,Other
91,Cardio
978,Bodyweight
34,Machine
1719,Bodyweight
1525,Other
2248,Barbell
224,Bands
859,Other
1729,Bodyweight
2906,Bodyweight
2752,Dumbbell
1334,Machine
891,Bodyweight
94,Other
551,Other
1937,Other
1485,Bands
1316,Machine
2719,Dumbbell
1293,Dumbbell
1379,Other
2798,Other
933,Dumbbell
2031,Machine
2477,Machine
1284,Dumbbell
2851,Bands
1607,Other
582,Machine
168,Other
3003,Other
1657,Other
1125,Bodyweight
969,Other
1942,Bodyweight
141,Cardio
109,Dumbbell
2526,Barbell
230,Bands
1095,Machine
2066,Barbell
146,Cardio
347,Bodyweight
1182,Machine
702,Other
1757,Cardio
392,Other
1650,Other
1600,Bodyweight
1587,Barbell
1700,Bands
2249,Barbell
253,Bands
454,Machine
2588,Other
1912,Barbell
1770,Dumbbell
417,Barbell
1774,Barbell
1751,Dumbbell
808,Dumbbell
1702,Other
2439,Dumbbell
1522,Dumbbell
2884,Other
2618,Bodyweight
299,Other
608,Bodyweight
2378,Bodyweight
1685,Other
1653,Other
187,Dumbbell
2988,Bands
656,Other
1758,Other
662,Bodyweight
2500,Machine
1391,Other
2109,Bodyweight
2282,Dumbbell
2932,Barbell
2955,Other
1760,Other
119,Bodyweight
1326,Bodyweight
2083,Barbell
571,Dumbbell
1483,Bodyweight
2801,Bodyweight
2255,Dumbbell
3013,Other
1393,Other
943,Other
1805,Bodyweight
2869,Machine
1743,Dumbbell
125,Other
1997,Dumbbell
1221,Bodyweight
602,Other
342,Other
2473,Bodyweight
2532,Other
1456,Cardio
2266,Dumbbell
2866,Other
1194,Other
2156,Bodyweight
2616,Bodyweight
907,Barbell
2138,Bodyweight
2669,Other
1286,Dumbbell
2504,Bodyweight
1551,Machine
1932,Barbell
2232,Bodyweight
2647,Bands
1658,Other
1198,Other
314,Barbell
1567,Dumbbell
2188,Bands
1707,Other
1307,Other
670,Machine
1838,Bodyweight
2101,Bodyweight
192,Barbell
1887,Barbell
2014,Machine
2533,Bodyweight
699,Dumbbell
2183,Bodyweight
1330,Dumbbell
2191,Machine
80,Bodyweight
628,Barbell
441,Bodyweight
2698,Machine
2512,Dumbbell
369,Dumbbell
2229,Other
896,Other
1727,Bodyweight
1179,Bodyweight
1543,Bands
2980,Bodyweight
857,Dumbbell
752,Barbell
1668,Other
1094,Dumbbell
2716,Barbell
1202,Barbell
870,Barbell
1881,Barbell
3043,Bodyweight
1195,Bodyweight
248,Bands
2130,Bodyweight
2340,Other
2763,Dumbbell
1738,Dumbbell
2370,Cardio
3001,Other
1800,Bands
114,Bodyweight
778,Bodyweight
2379,Bodyweight
393,Other
375,Other
1204,Bands
2496,Bodyweight
1426,Machine
215,Bands
849,Dumbbell
1647,Barbell
2777,Bands
2117,Bodyweight
2330,Dumbbell
575,Dumbbell
1672,Barbell
1290,Dumbbell
3036,Bodyweight
55,Cardio
1001,Dumbbell
121,Other
128,Bodyweight
1146,Bodyweight
2356,Other
3000,Other
2841,Dumbbell
2076,Dumbbell
865,Other
1350,Other
2446,Cardio
1382,Bodyweight
2082,Barbell
1459,Other
890,Other
3055,Other
2219,Other
695,Bodyweight
2918,Other
912,Bodyweight
