candidate_id,exercise_name,equipment_golden
1020,Garhammer Raise,Bodyweight
2791,Tire Flip,Other
2433,Single Arm Shoulder Press,Dumbbell
1577,Lying Bicep Curl,REVIEW_NEEDED
873,Eccentric Calf Raises,REVIEW_NEEDED
1229,Inchworm,REVIEW_NEEDED
1762,Overcoming ISO Split Squats,REVIEW_NEEDED
1099,Hammer Strength Iso-Lateral Low Row,REVIEW_NEEDED
2056,Rest Pause - Rear Delts (Placeholder),REVIEW_NEEDED
2357,Shoulder YTWL,REVIEW_NEEDED
18,(CARDIO) Row ERG,REVIEW_NEEDED
244,Banded Fire Hydrants,REVIEW_NEEDED
302,Behind Curls,REVIEW_NEEDED
2315,"Seated Shoulder Press (12,10,8,6,4)",REVIEW_NEEDED
2286,Seated Hamstring Curl,REVIEW_NEEDED
1218,Horizontal Chest Press,REVIEW_NEEDED
243,Banded External Rotations,REVIEW_NEEDED
745,Decline Hammer Strength Press,REVIEW_NEEDED
762,Deficit Exploding Pushup,REVIEW_NEEDED
541,Cardio,REVIEW_NEEDED
1129,Hatfield Squat,REVIEW_NEEDED
546,Carry & Drag Medley,REVIEW_NEEDED
418,Bottom-Half DB Flye,REVIEW_NEEDED
136,Active Pigeon Stretch (Lift Offs),REVIEW_NEEDED
2692,Straight Arm Pull Downs,REVIEW_NEEDED
1352,Kelso Shrug,REVIEW_NEEDED
1200,Hip Mobilization,REVIEW_NEEDED
895,Etupunnerrus,REVIEW_NEEDED
1191,Hip Explosion From Ground,REVIEW_NEEDED
1193,Hip Extension Quad,REVIEW_NEEDED
2529,Skull Crusher(Ez Bar)(Bar To Chin),REVIEW_NEEDED
3033,Zottman Curl,REVIEW_NEEDED
3019,Z Press,REVIEW_NEEDED
1582,Lying Chest Press,REVIEW_NEEDED
685,Crusher Curl,REVIEW_NEEDED
1678,Mobility,REVIEW_NEEDED
552,Cat-Cow Stretch,REVIEW_NEEDED
2587,Sots Press,REVIEW_NEEDED
1655,Med Ball Side Toss,REVIEW_NEEDED
1561,Lower Body Accessory 2,REVIEW_NEEDED
1189,Hip CARs Controlled Rotations,REVIEW_NEEDED
2794,Toe Press,REVIEW_NEEDED
1771,Overhead Lu Raise,REVIEW_NEEDED
2190,Rotator Cuff Eccentrics,REVIEW_NEEDED
2055,Rest Pause - Quad Isolation (Placeholder),REVIEW_NEEDED
1408,Ladder Drills,REVIEW_NEEDED
2702,Straight Leg Calf Raise 2,REVIEW_NEEDED
2926,Wall windmills,REVIEW_NEEDED
17,(CARDIO) Bike ERG,REVIEW_NEEDED
1141,Heel Tap,REVIEW_NEEDED
2524,Skull Crusher (EZ Bar),REVIEW_NEEDED
443,Bulgarien Split Squats,REVIEW_NEEDED
449,Bus Driver,REVIEW_NEEDED
1737,One Arm Australian (Rings),REVIEW_NEEDED
412,Bosu Glute Bridge,REVIEW_NEEDED
2132,Ring Curl,REVIEW_NEEDED
23,(CHEST) Iso Incline Chest Press,REVIEW_NEEDED
323,Bench Jack Knife,REVIEW_NEEDED
1576,Lying Behind The Back Neck Plate Elevation,REVIEW_NEEDED
1814,Pause Squat,REVIEW_NEEDED
185,B-Skips,REVIEW_NEEDED
889,Elevated Squats,REVIEW_NEEDED
744,Decline Hammer Strength,REVIEW_NEEDED
810,Dual Rope Extension,REVIEW_NEEDED
3042,circus press,REVIEW_NEEDED
898,Exercise Club Movements,REVIEW_NEEDED
1136,Heavy Weight For Distance,REVIEW_NEEDED
98,90/90 Hip Transition,REVIEW_NEEDED
2715,Stretching,REVIEW_NEEDED
2631,Stair Climber,REVIEW_NEEDED
544,Cardio 30-45min,REVIEW_NEEDED
