candidate_id,exercise_name,equipment_golden
1020,Garhammer Raise,Bodyweight
2791,Tire Flip,Other
2433,Single Arm Shoulder Press,Dumbbell
1577,Lying Bicep Curl,Dumbbell
873,Eccentric Calf Raises,Bodyweight
1229,Inchworm,Bodyweight
1762,Overcoming ISO Split Squats,Barbell
1099,Hammer Strength Iso-Lateral Low Row,Machine
2056,Rest Pause - Rear Delts (Placeholder),Other
2357,Shoulder YTWL,Bodyweight
18,(CARDIO) Row ERG,Cardio
244,Banded Fire Hydrants,Bands
302,Behind Curls,Machine
2315,"Seated Shoulder Press (12,10,8,6,4)",Dumbbell
2286,Seated Hamstring Curl,Machine
1218,Horizontal Chest Press,Machine
243,Banded External Rotations,Bands
745,Decline Hammer Strength Press,Machine
762,Deficit Exploding Pushup,Bodyweight
541,Cardio,Cardio
1129,Hatfield Squat,Barbell
546,Carry & Drag Medley,Other
418,Bottom-Half DB Flye,Dumbbell
136,Active Pigeon Stretch (Lift Offs),Bodyweight
2692,Straight Arm Pull Downs,Machine
1352,Kelso Shrug,Dumbbell
1200,Hip Mobilization,Bodyweight
895,Etupunnerrus,Machine
1191,Hip Explosion From Ground,Other
1193,Hip Extension Quad,Bodyweight
2529,Skull Crusher(Ez Bar)(Bar To Chin),Barbell
3033,Zottman Curl,Dumbbell
3019,Z Press,Dumbbell
1582,Lying Chest Press,Barbell
685,Crusher Curl,Barbell
1678,Mobility,Other
552,Cat-Cow Stretch,Bodyweight
2587,Sots Press,Barbell
1655,Med Ball Side Toss,Other
1561,Lower Body Accessory 2,Other
1189,Hip CARs Controlled Rotations,Bodyweight
2794,Toe Press,Machine
1771,Overhead Lu Raise,Dumbbell
2190,Rotator Cuff Eccentrics,Bands
2055,Rest Pause - Quad Isolation (Placeholder),Other
1408,Ladder Drills,Cardio
2702,Straight Leg Calf Raise 2,Bodyweight
2926,Wall windmills,Other
17,(CARDIO) Bike ERG,Cardio
1141,Heel Tap,Bodyweight
2524,Skull Crusher (EZ Bar),Barbell
443,Bulgarien Split Squats,Dumbbell
449,Bus Driver,Dumbbell
1737,One Arm Australian (Rings),Other
412,Bosu Glute Bridge,Bodyweight
2132,Ring Curl,Bodyweight
23,(CHEST) Iso Incline Chest Press,Machine
323,Bench Jack Knife,Bodyweight
1576,Lying Behind The Back Neck Plate Elevation,Bodyweight
1814,Pause Squat,Barbell
185,B-Skips,Cardio
889,Elevated Squats,Bodyweight
744,Decline Hammer Strength,Machine
810,Dual Rope Extension,Machine
3042,circus press,Dumbbell
898,Exercise Club Movements,Other
1136,Heavy Weight For Distance,Other
98,90/90 Hip Transition,Other
2715,Stretching,Other
2631,Stair Climber,Cardio
544,Cardio 30-45min,Other
1648,Med Ball Backward Toss,Cardio
1060,Ground Mobility,Other
2728,Sumo Squat,Bodyweight
300,Bear Position Pull Through,Dumbbell
868,Développer Horizontale,Machine
994,Front Lever,Bodyweight
1639,Marching Glute Bridge,Bodyweight
2784,Tib Raises,Bodyweight
1661,Medicine Ball Floor Throw And Hip Toss,Cardio
50,1-1/4 Squat,Bodyweight
1811,Partner Agility Drill,Other
291,Battle Ropes,Cardio
1560,Lower Body Accessory 1,Other
2033,Rear Delt Row,Dumbbell
2788,Tibialis Curl,Bodyweight
2624,Squat Walkout,Bodyweight
3018,Yoke Walk,Machine
382,Bike,Cardio
2842,Tricep-Pressdown,Machine
1105,Hamstring Stretch with Rotation,Other
91,60m Sprint,Cardio
978,Frame Hold,Bodyweight
34,(LEGS) Pendulum Squat,Machine
1719,Nordic Curls (Freak Athlete),Bodyweight
1525,Light Stretching,Other
2248,Scott Curl,Barbell
