iter	MultiRMSE
0	51.39236528
1	50.21478526
2	49.0888028
3	47.98566357
4	46.92575528
5	45.89779739
6	44.88569397
7	43.9597432
8	43.02010608
9	42.11229922
10	41.22603934
11	40.37901379
12	39.62071803
13	38.87810781
14	38.1156342
15	37.39101452
16	36.68934586
17	36.00748679
18	35.38655295
19	34.77789258
20	34.14909184
21	33.53652409
22	32.97633272
23	32.42365985
24	31.89163735
25	31.37140847
26	30.87307577
27	30.4137108
28	29.95821369
29	29.52111621
30	29.08413506
31	28.69132632
32	28.27963154
33	27.89133828
34	27.51472129
35	27.14140605
36	26.80515604
37	26.48498258
38	26.16373207
39	25.85817734
40	25.5688148
41	25.27215011
42	24.99229026
43	24.72950906
44	24.47414663
45	24.25106233
46	24.03903558
47	23.7998212
48	23.57981448
49	23.36946885
50	23.16055765
51	22.9592722
52	22.77493455
53	22.59598936
54	22.42332545
55	22.25427494
56	22.10474575
57	21.95960805
58	21.81515405
59	21.6819587
60	21.54506642
61	21.40408458
62	21.27601983
63	21.14889239
64	21.03386216
65	20.91682802
66	20.80174188
67	20.69043752
68	20.5801116
69	20.48708139
70	20.39074558
71	20.30197396
72	20.22766113
73	20.14635968
74	20.06765871
75	19.98873319
76	19.90966667
77	19.83182013
78	19.76012429
79	19.68661567
80	19.62325488
81	19.56140663
82	19.49245311
83	19.43446622
84	19.37675173
85	19.31394056
86	19.26523026
87	19.21916482
88	19.17200826
89	19.12744803
90	19.07411864
91	19.03003327
92	18.97959313
93	18.93419475
94	18.88174995
95	18.82786578
96	18.7838754
97	18.74192289
98	18.69901089
99	18.65265868
100	18.60924087
101	18.58357422
102	18.54150376
103	18.50850315
104	18.47591082
105	18.43997502
106	18.41077254
107	18.39464851
108	18.36662964
109	18.33769959
110	18.30767067
111	18.27935546
112	18.25239256
113	18.22880497
114	18.20941002
115	18.19564907
116	18.17146111
117	18.15041515
118	18.12031778
119	18.10315615
120	18.08391001
121	18.06618181
122	18.0466035
123	18.02675221
124	18.00628394
125	17.98440145
126	17.96563874
127	17.94382457
128	17.92602647
129	17.91062385
130	17.89328963
131	17.88167475
132	17.8659951
133	17.85412691
134	17.83101496
135	17.81354713
136	17.79836746
137	17.79005343
138	17.77145724
139	17.75634715
140	17.74065174
141	17.72810975
142	17.70970424
143	17.69746564
144	17.68784048
145	17.6697214
146	17.65911877
147	17.64951205
148	17.6402273
149	17.63247883
150	17.62181872
151	17.60873409
152	17.5997504
153	17.58377043
154	17.5784807
155	17.5701343
156	17.56370892
157	17.55428767
158	17.53756524
159	17.52767789
160	17.51670774
161	17.51216795
162	17.5028186
163	17.48816199
164	17.48006113
165	17.47864597
166	17.46887866
167	17.45943758
168	17.45391916
169	17.44607559
170	17.43818255
171	17.42367701
172	17.41046216
173	17.39984364
174	17.39369398
175	17.37943802
176	17.37255944
177	17.3702377
178	17.36612237
179	17.36113605
180	17.35732081
181	17.35167576
182	17.3438404
183	17.3363128
184	17.29527003
185	17.28967226
186	17.27782672
187	17.27444333
188	17.26639746
189	17.25080733
190	17.2367778
191	17.22407575
192	17.21563425
193	17.20967195
194	17.20051247
195	17.18934371
196	17.17471389
197	17.17231323
198	17.16673754
199	17.13582637
200	17.13049451
201	17.11932953
202	17.1082478
203	17.1044094
204	17.09804285
205	17.08951835
206	17.0826064
207	17.07431527
208	17.06165844
209	17.05773581
210	17.04078543
211	17.03174536
212	17.02490557
213	17.01557455
214	17.00759233
215	17.0050141
216	16.99941807
217	16.99632583
218	16.99486578
219	16.9881235
220	16.96634594
221	16.95812389
222	16.94383948
223	16.94133851
224	16.94020912
225	16.93398713
226	16.92061736
227	16.91202006
228	16.90496532
229	16.89846776
230	16.89464916
231	16.88222863
232	16.87610217
233	16.86192351
234	16.85930455
235	16.85200234
236	16.84094472
237	16.83349455
238	16.82491378
239	16.81894787
240	16.80702058
241	16.80355991
242	16.80113757
243	16.79291454
244	16.78970892
245	16.7865394
246	16.78318445
247	16.77852784
248	16.77700042
249	16.7719726
250	16.75510711
251	16.7456389
252	16.74273568
253	16.73323536
254	16.72784586
255	16.72043265
256	16.71862495
257	16.71045773
258	16.69968055
259	16.69737686
260	16.69416304
261	16.69078602
262	16.68812168
263	16.68560602
264	16.68019322
265	16.6752791
266	16.67158999
267	16.66670935
268	16.6544125
269	16.6484988
270	16.632213
271	16.63101336
272	16.62380043
273	16.62088609
274	16.6166248
275	16.61186837
276	16.60448968
277	16.60300758
278	16.59652747
279	16.59436412
280	16.58874647
281	16.58536882
282	16.57530188
283	16.57172767
284	16.56226445
285	16.55761384
286	16.54605107
287	16.51784788
288	16.51280848
289	16.50407459
290	16.49363424
291	16.4920967
292	16.47685449
293	16.47468745
294	16.47142783
295	16.46510883
296	16.45949119
297	16.45795388
298	16.45000932
299	16.44626173
300	16.4434893
301	16.43810003
302	16.43707869
303	16.4356481
304	16.43014281
305	16.42733849
306	16.42480637
307	16.42422635
308	16.41748439
309	16.41300971
310	16.41131424
311	16.41025508
312	16.40141662
313	16.38832383
314	16.37856693
315	16.37656694
316	16.36979806
317	16.36886439
318	16.36485361
319	16.35989952
320	16.3522558
321	16.34261141
322	16.33702432
323	16.33289716
324	16.32981485
325	16.3268706
326	16.31845842
327	16.31087374
328	16.30751815
329	16.30297751
330	16.29949932
331	16.29273551
332	16.29039007
333	16.28627979
334	16.28593652
335	16.28187634
336	16.27556661
337	16.26816929
338	16.26758234
339	16.26071794
340	16.25981101
341	16.25652962
342	16.25357244
343	16.24498332
344	16.24347851
345	16.24247028
346	16.24085068
347	16.23982462
348	16.23711095
349	16.2327241
350	16.22082692
351	16.21373513
352	16.20925466
353	16.20601033
354	16.19952492
355	16.19596073
356	16.19013897
357	16.18824683
358	16.18547572
359	16.18011904
360	16.17679239
361	16.17567175
362	16.17065295
363	16.16710616
364	16.16424482
365	16.16186081
366	16.16068097
367	16.15951355
368	16.15390392
369	16.15281334
370	16.15076609
371	16.14343688
372	16.12974347
373	16.12863807
374	16.12570647
375	16.1250422
376	16.11735543
377	16.11363983
378	16.10906453
379	16.10449667
380	16.10167543
381	16.0989741
382	16.09585821
383	16.08892692
384	16.0825093
385	16.07977733
386	16.07818471
387	16.07650262
388	16.07242236
389	16.06411964
390	16.0629326
391	16.05917197
392	16.05098646
393	16.04428391
394	16.04173729
395	16.03823235
396	16.03224702
397	16.02790791
398	16.02562583
399	16.0246792
400	16.02078845
401	16.01705732
402	16.01461902
403	16.00173702
404	15.99705469
405	15.99518583
406	15.98603732
407	15.98480492
408	15.98286047
409	15.98204278
410	15.97943859
411	15.9762075
412	15.97457105
413	15.97130393
414	15.9643225
415	15.96174082
416	15.95320363
417	15.95051247
418	15.9492486
419	15.94674514
420	15.94261845
421	15.92403859
422	15.9200116
423	15.91698525
424	15.90795696
425	15.90486744
426	15.89997476
427	15.89471046
428	15.89353745
429	15.8927043
430	15.88950737
431	15.88851143
432	15.88750619
433	15.88290227
434	15.88173123
435	15.87802711
436	15.86852163
437	15.86735035
438	15.86559927
439	15.86467116
440	15.86203471
441	15.85806912
442	15.8543853
443	15.85408533
444	15.85257786
445	15.84572122
446	15.84256083
447	15.84132382
448	15.83695355
449	15.82968487
450	15.82595266
451	15.82268982
452	15.815787
453	15.80567724
454	15.80461448
455	15.80405224
456	15.79619944
457	15.79082171
458	15.78980924
459	15.78302774
460	15.77530935
461	15.77485454
462	15.77445143
463	15.76752323
464	15.76607143
465	15.76389027
466	15.76298318
467	15.75789922
468	15.75311144
469	15.75025436
470	15.74870186
471	15.74486317
472	15.74072847
473	15.73951126
474	15.73321617
475	15.73176392
476	15.72498039
477	15.72380613
478	15.72162316
479	15.71804792
480	15.71668777
481	15.71552262
482	15.71201424
483	15.70936194
484	15.70823704
485	15.70568292
486	15.70196832
487	15.69611807
488	15.69504304
489	15.69481266
490	15.69001081
491	15.68790398
492	15.68477458
493	15.68017544
494	15.67977208
495	15.67926979
496	15.67531286
497	15.67427617
498	15.66793394
499	15.66415985
500	15.66087562
501	15.65722358
502	15.65338807
503	15.64920624
504	15.64215376
505	15.63620768
506	15.63312894
507	15.6319802
508	15.63141155
509	15.62929909
510	15.62855817
511	15.62761118
512	15.62132389
513	15.62071308
514	15.61099327
515	15.60967528
516	15.60818421
517	15.60325236
518	15.60252492
519	15.60203961
520	15.60066486
521	15.59982075
522	15.59887385
523	15.59510161
524	15.59037941
525	15.58616347
526	15.58418456
527	15.58227708
528	15.57795726
529	15.571808
530	15.57004986
531	15.5667964
532	15.56538594
533	15.56367519
534	15.56071669
535	15.55345086
536	15.54557225
537	15.54159833
538	15.53771655
539	15.535193
540	15.53414475
541	15.53012509
542	15.52827997
543	15.5268804
544	15.52418471
545	15.52306684
546	15.52123533
547	15.5183028
548	15.51356563
549	15.50989439
550	15.50572575
551	15.50202965
552	15.50005254
553	15.49910873
554	15.48730975
555	15.48499057
556	15.48381793
557	15.48294602
558	15.48139657
559	15.47852542
560	15.4734374
561	15.47120841
562	15.46918957
563	15.46665212
564	15.46079295
565	15.45692515
566	15.4545108
567	15.45294859
568	15.45136291
569	15.44961512
570	15.44763115
571	15.44175898
572	15.44084722
573	15.43870943
574	15.43767788
575	15.43652089
576	15.43482174
577	15.42265104
578	15.41606493
579	15.41488981
580	15.41412708
581	15.41208201
582	15.41165883
583	15.40890974
584	15.40406698
585	15.40311466
586	15.39806914
587	15.39707308
588	15.39496762
589	15.39264646
590	15.39195886
591	15.39079343
592	15.38242293
593	15.38033336
594	15.37807775
595	15.37364001
596	15.37158566
597	15.36812471
598	15.36370042
599	15.36238069
600	15.35849003
601	15.35732493
602	15.35361642
603	15.35210307
604	15.34514173
605	15.34460155
606	15.34398686
607	15.34307989
608	15.3373659
609	15.33248539
610	15.3299964
611	15.32893442
612	15.32597323
613	15.32109344
614	15.31999601
615	15.31707688
616	15.31574231
617	15.31275775
618	15.30367756
619	15.30321899
620	15.29946042
621	15.29795695
622	15.29334392
623	15.29189331
624	15.28878015
625	15.28275801
626	15.28253811
627	15.27972563
628	15.2762203
629	15.27510229
630	15.27430623
631	15.27329337
632	15.26848991
633	15.26693407
634	15.26273921
635	15.25074479
636	15.24629257
637	15.242845
638	15.23681183
