iter	Passed	Remaining
0	93	186662
1	128	128370
2	163	108593
3	195	97393
4	225	89776
5	252	83748
6	277	79128
7	307	76477
8	333	73687
9	359	71623
10	391	70754
11	414	68671
12	443	67725
13	470	66776
14	502	66470
15	528	65488
16	559	65273
17	584	64355
18	615	64208
19	646	63965
20	671	63261
21	694	62401
22	718	61743
23	741	61032
24	769	60754
25	800	60812
26	833	60921
27	860	60631
28	892	60677
29	916	60196
30	943	59940
31	969	59622
32	998	59496
33	1028	59489
34	1057	59369
35	1078	58834
36	1104	58590
37	1132	58489
38	1159	58279
39	1185	58102
40	1218	58218
41	1251	58342
42	1284	58480
43	1323	58849
44	1355	58868
45	1388	58986
46	1416	58869
47	1440	58569
48	1466	58401
49	1501	58547
50	1530	58486
51	1562	58527
52	1594	58579
53	1629	58714
54	1654	58503
55	1684	58472
56	1716	58511
57	1747	58507
58	1778	58494
59	1813	58634
60	1842	58576
61	1868	58400
62	1900	58419
63	1930	58392
64	1958	58317
65	1984	58164
66	2022	58359
67	2050	58271
68	2075	58094
69	2101	57950
70	2134	57996
71	2158	57794
72	2187	57744
73	2220	57794
74	2249	57731
75	2285	57849
76	2319	57925
77	2347	57850
78	2375	57769
79	2403	57676
80	2433	57662
81	2464	57636
82	2496	57659
83	2526	57618
84	2560	57684
85	2592	57709
86	2619	57606
87	2644	57449
88	2669	57309
89	2697	57245
90	2720	57080
91	2751	57069
92	2781	57028
93	2817	57120
94	2849	57148
95	2878	57086
96	2903	56962
97	2931	56889
98	2961	56872
99	2995	56906
100	3022	56827
101	3054	56836
102	3085	56835
103	3122	56931
104	3153	56919
105	3180	56824
106	3213	56845
107	3249	56930
108	3282	56945
109	3318	57023
110	3350	57018
111	3384	57053
112	3413	57003
113	3443	56966
114	3477	56993
115	3503	56906
116	3537	56928
117	3573	56987
118	3603	56951
119	3638	56997
120	3676	57094
121	3712	57141
122	3749	57216
123	3781	57213
124	3807	57105
125	3841	57131
126	3866	57017
127	3900	57040
128	3928	56975
129	3956	56917
130	3989	56919
131	4022	56921
132	4058	56972
133	4094	57017
134	4121	56943
135	4153	56926
136	4185	56918
137	4219	56930
138	4245	56840
139	4272	56760
