Exercise_Name,Base_Lift,exercise_id
(BACK) Barbell Deadlift,Best3DeadliftKg,3
(BACK) Barbell Pendlay Row,Best3DeadliftKg,4
(BACK) Barbell Row,Best3DeadliftKg,5
(BACK) Close Grip Cable Row,Best3DeadliftKg,7
(BACK) Landmine T Bar Row,Best3DeadliftKg,10
(BACK) Rope Cable Pullover,Best3DeadliftKg,11
(BACK) Single Arm Supported Dumbbell Row,Best3DeadliftKg,12
(BACK) Supinated Barbell Bent Over Row,Best3DeadliftKg,13
(BICEPS) Single Arm Hammer Preacher Curl,Best3DeadliftKg,15
(CALVES) Seated Calf Machine,Best3SquatKg,16
(CARDIO) Bike ERG,Cardio_Core,17
(CARDIO) Row ERG,Cardio_Core,18
(CARDIO) SKI ERG,Cardio_Core,19
(CHEST) Decline Barbell Bench Press,Best3BenchKg,20
(CHEST) Flat Dumbbell Bench Press,Best3DeadliftKg,21
(CHEST) Incline Cable Fly,Best3BenchKg,22
(CHEST) Iso Incline Chest Press,Best3BenchKg,23
(Dumbbell) Calf Raise (Single Leg),Best3SquatKg,24
(GLUTES) Barbell Hip Thrust,Best3SquatKg,25
(HAMSTRINGS) Barbell RDL,Best3DeadliftKg,26
(LEGS) Heel Elevated Barbell Front Squat,Best3SquatKg,31
(LEGS) Heel Elevated Goblet Squat,Best3SquatKg,32
(LEGS) Leg Seated Leg Extension,Best3SquatKg,33
(LEGS) Pendulum Squat,Best3SquatKg,34
(LEGS) Sled Push,Best3BenchKg,35
(POSTERIOR CHAIN) Barbell Deadlift,Best3DeadliftKg,36
(SHOULDERS) Low Cable Crossover,Best3BenchKg,37
(SHOULDERS) Seated Iso Shoulder Press,Best3BenchKg,40
(SHOULDERS) Seated Smith Machine Shoulder Press,Best3DeadliftKg,41
(SHOULDERS) Standing Landmine Shoulder Press,Best3BenchKg,42
(TRICEPS) Close Grip Barbell Bench Press,Best3BenchKg,44
(TRICEPS) Seated EZ Bar Overhead Tricep Extension,Best3BenchKg,45
(TRICEPS) Weighted Bench Dip,Best3BenchKg,46
1 Arm Lat Pullin,Best3DeadliftKg,47
1-1/4 Squat,Best3SquatKg,50
1-Arm 45 Degrees Cable Rear Delt Flye,Best3BenchKg,51
10km Row,Best3DeadliftKg,55
1km Run,Cardio_Core,58
1km Run (4/3),Cardio_Core,59
"2"" ACB Bench Press",Best3BenchKg,62
200m Sprint,Cardio_Core,64
21 Curl (Barbell),Best3DeadliftKg,65
2km Row,Best3DeadliftKg,69
3 Count Pause Bench,Best3BenchKg,70
30m Sprint,Cardio_Core,73
3in Board Press,Best3BenchKg,74
400m Row,Best3DeadliftKg,76
400m Sprint,Cardio_Core,77
45 Degree Extension,Best3DeadliftKg,80
45 Degree Incline DB Press,Best3BenchKg,81
45-degree Side Bend,Cardio_Core,84
45° Incline Barbell Press,Best3BenchKg,85
"6.	Abs (Standing Band Crunches, Sit-Ups, Etc.)",Cardio_Core,90
60m Sprint,Cardio_Core,91
90° Hammer Curl,Best3DeadliftKg,102
AB Rollout,Cardio_Core,104
ACB Close Grip Bench,Best3BenchKg,106
ACB Reverse Close Grip Bench,Best3BenchKg,107
AD Press,Best3BenchKg,109
AD Press (Smith Machine),Best3DeadliftKg,111
ATG Lunge,Best3SquatKg,112
ATG Split Squat,Best3SquatKg,114
Ab Coaster,Cardio_Core,115
