Exercise_Name,Base_Lift,exercise_id
(BACK) Barbell Deadlift,Best3DeadliftKg,3
(BACK) Barbell Pendlay Row,Best3DeadliftKg,4
(BACK) Barbell Row,Best3DeadliftKg,5
(BACK) Cable Pullover,Best3DeadliftKg,6
(BACK) Close Grip Cable Row,Best3DeadliftKg,7
(BACK) Close Grip Lat Pulldown,Best3DeadliftKg,8
(BACK) Iso Row (Upper Back Focused),Best3DeadliftKg,9
(BACK) Landmine T Bar Row,Best3DeadliftKg,10
(BACK) Rope Cable Pullover,Best3DeadliftKg,11
(BACK) Single Arm Supported Dumbbell Row,Best3DeadliftKg,12
(BACK) Supinated Barbell Bent Over Row,Best3DeadliftKg,13
(BICEPS) EZ-Bar Preacher Curl,Best3DeadliftKg,14
(BICEPS) Single Arm Hammer Preacher Curl,Best3DeadliftKg,15
(CALVES) Seated Calf Machine,Best3SquatKg,16
(CARDIO) Bike ERG,Cardio_Core,17
(CARDIO) Row ERG,Cardio_Core,18
(CARDIO) SKI ERG,Cardio_Core,19
(CHEST) Decline Barbell Bench Press,Best3BenchKg,20
(CHEST) Flat Dumbbell Bench Press,Best3DeadliftKg,21
(CHEST) Incline Cable Fly,Best3BenchKg,22
(CHEST) Iso Incline Chest Press,Best3BenchKg,23
(Dumbbell) Calf Raise (Single Leg),Best3SquatKg,24
(GLUTES) Barbell Hip Thrust,Best3SquatKg,25
(HAMSTRINGS) Barbell RDL,Best3DeadliftKg,26
(HAMSTRINGS) Seated Hamstring Curl,Best3DeadliftKg,27
(LATS) Leverage Pulldown,Best3DeadliftKg,28
(LEGS) 45 Degree Leg Press,Best3SquatKg,29
(LEGS) Barbell Squat,Best3SquatKg,30
(LEGS) Heel Elevated Barbell Front Squat,Best3SquatKg,31
(LEGS) Heel Elevated Goblet Squat,Best3SquatKg,32
(LEGS) Leg Seated Leg Extension,Best3SquatKg,33
(LEGS) Pendulum Squat,Best3SquatKg,34
(LEGS) Sled Push,Best3BenchKg,35
(POSTERIOR CHAIN) Barbell Deadlift,Best3DeadliftKg,36
(SHOULDERS) Low Cable Crossover,Best3BenchKg,37
(SHOULDERS) Rear Delts Fly,Best3BenchKg,38
(SHOULDERS) Seated Dumbbell Shoulder Press,Best3BenchKg,39
(SHOULDERS) Seated Iso Shoulder Press,Best3BenchKg,40
(SHOULDERS) Seated Smith Machine Shoulder Press,Best3DeadliftKg,41
(SHOULDERS) Standing Landmine Shoulder Press,Best3BenchKg,42
(TOTAL) Barbell Clean And Press,Best3DeadliftKg,43
(TRICEPS) Close Grip Barbell Bench Press,Best3BenchKg,44
(TRICEPS) Seated EZ Bar Overhead Tricep Extension,Best3BenchKg,45
(TRICEPS) Weighted Bench Dip,Best3BenchKg,46
1 Arm Lat Pullin,Best3DeadliftKg,47
1 Arm Machine Row,Best3DeadliftKg,48
1 Km Run,Cardio_Core,49
1-1/4 Squat,Best3SquatKg,50
1-Arm 45 Degrees Cable Rear Delt Flye,Best3BenchKg,51
1/2 Kneeling Adductor Rock Back,Cardio_Core,52
100m Row,Best3DeadliftKg,53
100m Sprint,Cardio_Core,54
10km Row,Best3DeadliftKg,55
120m Sprint,Cardio_Core,56
1km Row,Best3DeadliftKg,57
1km Run,Cardio_Core,58
1km Run (4/3),Cardio_Core,59
2 Hand Plate Pinch,Best3DeadliftKg,60
