exercise_id,Exercise_Name,Sex,Age,BodyweightKg,eq_clean,level_idx,goal_clean,Base_Lift,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,predicted_weight,target_reps
1546,Low Cable Fly,F,33.0,58.3,Machine,3,Powerbuilding,Best3BenchKg,80.0,60.0,107.5,7.5,10
1440,Lat Pullover,F,43.0,73.1,Machine,0,Bodybuilding,Best3DeadliftKg,105.0,67.5,110.0,18.5,12
2733,Super ROM Overhead Cable Row,M,15.5,67.4,Machine,0,Athletics,Best3DeadliftKg,100.0,62.5,105.0,63.6,12
2731,Super ROM Lateral Dumbbell Raise,M,35.0,66.65,Dumbbell,0,Athletics,Best3DeadliftKg,137.5,122.5,170.0,16.0,12
1075,Half Kneeling Landmine Press,M,26.5,72.45,Barbell,1,Athletics,Best3BenchKg,90.0,50.0,125.0,22.4,12
1134,Heavy Lateral Raise,M,15.5,78.8,Dumbbell,2,Powerbuilding,Best3DeadliftKg,100.0,60.0,115.0,16.0,8
2577,Snatch (Dumbbell),M,57.5,79.65,Dumbbell,2,Powerlifting,Best3DeadliftKg,180.0,100.0,55.0,36.0,3
185,B-Skips,F,26.0,96.5,Bodyweight,2,Muscle & Sculpting,Cardio_Core,100.0,47.5,140.0,0.0,15
2703,Straight Leg Deadlift,M,31.5,102.55,Barbell,2,Powerlifting,Best3DeadliftKg,232.5,160.0,260.0,255.3,3
1472,Lateral Raise (Seated),F,35.0,53.6,Dumbbell,0,Muscle & Sculpting,Best3DeadliftKg,80.0,50.0,92.5,8.0,17
206,Band Assisted Pogo Jumps,M,32.0,94.1,Machine,2,Athletics,Cardio_Core,205.0,145.0,250.0,0.0,12
249,Banded Hip Flexor Marches,M,32.0,107.8,Bodyweight,0,Powerlifting,Cardio_Core,230.0,175.0,250.0,0.0,3
1592,Lying Leg Raise,M,43.5,98.75,Bodyweight,2,Bodybuilding,Best3BenchKg,210.0,162.5,260.0,22.4,10
495,Cable Rotational Twists,M,41.0,100.2,Machine,0,Powerlifting,Best3DeadliftKg,190.0,120.0,200.0,53.5,3
2479,Single Leg Seated Hamstring Curl,F,31.0,55.6,Machine,0,Bodybuilding,Best3DeadliftKg,100.0,55.0,145.0,24.8,12
2140,Ring Lat Pull,M,33.0,72.5,Bodyweight,0,Powerbuilding,Best3DeadliftKg,140.0,135.0,240.0,-23.8,8
2302,Seated Or Lying Hamstring Curl (Swap This Out For Either),M,18.0,81.5,Machine,1,Bodybuilding,Best3DeadliftKg,192.5,115.0,210.0,42.3,10
2408,Single Arm Kettlebell Swing,M,29.0,86.5,Dumbbell,2,Powerlifting,Best3DeadliftKg,175.0,132.5,192.5,34.0,3
2542,Sled Push,M,38.0,90.0,Machine,0,Bodybuilding,Best3BenchKg,212.5,127.5,250.0,25.7,10
2806,Trap Bar Farmers Walk,M,37.0,88.0,Barbell,0,Powerbuilding,Cardio_Core,190.0,190.0,200.0,5.0,8
2556,Smith Hack Squat,M,15.0,105.0,Machine,2,Bodybuilding,Best3SquatKg,160.0,100.0,190.0,128.8,10
1390,Kneeling Leg Curl,M,26.0,103.0,Machine,2,Athletics,Best3DeadliftKg,245.0,160.0,285.0,43.2,12
1170,High Step Up,M,26.0,109.0,Bodyweight,2,Athletics,Best3SquatKg,242.5,180.0,300.0,25.6,12
138,Adduction,M,36.0,128.0,Bodyweight,0,Bodybuilding,Best3SquatKg,240.0,200.0,260.0,0.0,10
2263,Seated Calf Raise,F,30.0,57.6,Machine,2,Bodybuilding,Best3SquatKg,102.5,57.5,137.5,17.5,12
1515,Leg Raise Floor,F,32.5,66.8,Bodyweight,2,Bodybuilding,Best3BenchKg,130.0,60.0,195.0,4.6,12
2079,Reverse Fly (Machine),F,17.0,87.0,Machine,0,Muscle & Sculpting,Best3DeadliftKg,140.0,65.0,162.5,19.7,17
2272,Seated Dumbbell Curl,M,18.5,62.9,Dumbbell,2,Bodybuilding,Best3DeadliftKg,165.0,85.0,160.0,20.0,10
1366,Kettlebell Power Row,M,25.5,66.5,Dumbbell,3,Muscle & Sculpting,Best3DeadliftKg,202.5,110.0,210.0,78.0,15
523,Calf Press (Leg Press Machine),M,18.5,70.2,Machine,2,Powerlifting,Best3SquatKg,155.0,85.0,170.0,166.7,3
1335,Jog,M,22.5,72.3,Bodyweight,2,Bodyweight Fitness,Cardio_Core,140.0,115.0,150.0,0.0,10
2637,Standing Behind Neck Shoulder Press (Barbell),M,33.0,72.5,Barbell,2,Bodybuilding,Best3BenchKg,140.0,130.0,230.0,77.3,10
2703,Straight Leg Deadlift,M,23.0,77.4,Barbell,2,Powerlifting,Best3DeadliftKg,215.0,140.0,275.0,270.0,3
1127,Hanging Toes To Bar,M,23.0,77.4,Bodyweight,2,Bodybuilding,Cardio_Core,215.0,140.0,275.0,0.0,10
2556,Smith Hack Squat,M,46.5,81.9,Machine,2,Bodybuilding,Best3SquatKg,200.0,130.0,215.0,155.8,10
